date,url,description,address,additional_info,price,rooms,reference
2021-04-09T11:10:56.103828,https://flatfox.ch/en/flat/schermenweg-182-3072-ostermundigen/391117/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,3 rooms apartment,"Schermenweg 182, 3072 Ostermundigen",,CHF 1’310 incl. utilities per month,"3 rooms , 65m²",
2021-04-09T15:39:18.600911,https://flatfox.ch/en/flat/grauholzstr-78-3063-ittigen/392070/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Grauholzstr. 78, 3063 Ittigen",,CHF 1’250 incl. utilities per month,"2 ½ rooms , 68m²",Reference: 08207.06.0054
2021-04-09T15:39:18.600982,https://flatfox.ch/en/flat/grauholzstr-78-3063-ittigen/392069/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Grauholzstr. 78, 3063 Ittigen",,CHF 1’250 incl. utilities per month,"2 ½ rooms , 68m²",Reference: 08207.06.0053
2021-04-09T15:39:18.601030,https://flatfox.ch/en/flat/grauholzstr-76-3063-ittigen/392068/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,4 ½ rooms apartment,"Grauholzstr. 76, 3063 Ittigen",,CHF 1’710 incl. utilities per month,"4 ½ rooms , 113m²",Reference: 08207.05.0043
2021-04-09T17:01:22.411888,https://flatfox.ch/en/flat/murtenstrasse-143-b-3008-bern/392113/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 rooms apartment,"Murtenstrasse 143 B, 3008 Bern",,CHF 1’350 incl. utilities per month,"2 rooms , 40m²",Reference: 94181.01.0308
2021-04-09T17:17:02.432076,https://flatfox.ch/en/flat/holligenstrasse-109-3008-bern/391103/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,3 rooms apartment,"Holligenstrasse 109, 3008 Bern",,CHF 1’485 incl. utilities per month,"3 rooms , 73m²",Reference: 38106.02.450003
2021-04-09T21:11:06.483784,https://flatfox.ch/en/flat/bernstrasse-119-3072-ostermundigen/392162/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Bernstrasse 119, 3072 Ostermundigen",,CHF 1’380 incl. utilities per month,"2 ½ rooms , 59m²",Reference: 01261.02.0206
2021-04-10T00:38:55.673004,https://flatfox.ch/en/flat/mittelstrasse-4042-3012-bern/392254/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,3 ½ rooms apartment,"Mittelstrasse 40/42, 3012 Bern",,CHF 2’210 incl. utilities per month,"3 ½ rooms , 77m²",Reference: 21551.03.1045
2021-04-10T00:38:55.673052,https://flatfox.ch/en/flat/talgut-zentrum-16-3063-ittigen/346082/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Talgut-Zentrum 16, 3063 Ittigen",,CHF 1’360 incl. utilities per month,"2 ½ rooms , 65m²",Reference: 4346.02.0602
2021-04-10T07:34:25.588764,https://flatfox.ch/en/flat/allmendstrasse-15-3014-bern/392080/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,3 ½ rooms apartment,"Allmendstrasse 15, 3014 Bern",,CHF 2’480 incl. utilities per month,3 ½ rooms,
2021-04-10T09:36:16.766940,https://flatfox.ch/en/flat/dapplesweg-2-3007-bern/392293/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,Room in a shared flat,"Dapplesweg, 2, 3007 Bern",,CHF 650 excl. utilities per month,"1 rooms , 18m²",
2021-04-10T10:31:19.094118,https://flatfox.ch/en/flat/muhlemattstrasse-3007-bern/392289/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,Room in a shared flat,"Mühlemattstrasse, 3007 Bern",**Furnished**,CHF 1’100 incl. utilities per month,1 rooms,
2021-04-10T10:38:33.465799,https://flatfox.ch/en/flat/eigerstrasse-78-3007-bern/392304/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,1 room apartment,"Eigerstrasse 78, 3007 Bern",,CHF 900 incl. utilities per month,"1 rooms , 28m²",
2021-04-11T07:41:31.756149,https://flatfox.ch/en/flat/galgenfeldweg-1-3006-bern/392394/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,Room in a shared flat,"Galgenfeldweg 1, 3006 Bern",,CHF 1’100 incl. utilities per month,"1 rooms , 13m²",
2021-04-11T07:41:31.756194,https://flatfox.ch/en/flat/thunstrasse-33-3005-bern/392392/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,5 rooms apartment,"Thunstrasse 33, 3005 Bern",,CHF 2’450 incl. utilities per month,"5 rooms , 110m²",
2021-04-11T11:37:23.727661,https://flatfox.ch/en/flat/3008-bern/392474/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,1 ½ rooms apartment,3008 Bern,**Temporary**,CHF 890 incl. utilities per month,1 ½ rooms,
2021-04-11T13:06:15.418105,https://flatfox.ch/en/flat/friedheimweg-24-3007-bern/392489/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 rooms apartment,"Friedheimweg 24, 3007 Bern",,CHF 1’120 incl. utilities per month,"2 rooms , 55m²",
2021-04-11T14:09:11.433623,https://flatfox.ch/en/flat/landoltstrasse-40-3007-bern/392500/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Landoltstrasse 40, 3007 Bern",,CHF 1’480 incl. utilities per month,"2 ½ rooms , 60m²",
2021-04-11T16:09:13.408026,https://flatfox.ch/en/flat/ginsterweg-4-3006-bern/392525/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,3 rooms apartment,"Ginsterweg 4, 3006 Bern",,CHF 1’699 incl. utilities per month,"3 rooms , 70m²",
2021-04-12T09:12:35.111881,https://flatfox.ch/en/flat/3015-bern/392714/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 rooms apartment,3015 Bern,"**Temporary , Furnished**",CHF 1’200 incl. utilities per month,"2 rooms , 61m²",
2021-04-12T12:08:30.721965,https://flatfox.ch/en/flat/bernstrasse-25-3072-ostermundigen/279745/?utm_source=newsletter&utm_medium=email&utm_campaign=subscriptions,2 ½ rooms apartment,"Bernstrasse 25, 3072 Ostermundigen",,CHF 1’960 incl. utilities per month,"2 ½ rooms , 60m²",Reference: 4312.01.2604
